state/union_territory,city/town/village,year,so2,no2,pm10,pm2.5
Himachal Pradesh,Shimla,2021,2.0,6.0,58.0,22.0
Himachal Pradesh,Sunder Nagar,2021,2.0,5.0,52.0,23.0
Himachal Pradesh,Una,2021,2.0,7.0,53.0,20.0
Jammu & Kashmir (UT),Jammu,2021,3.0,20.0,172.0,31.0
Jammu & Kashmir (UT),Pulwama (K),2021,5.0,15.0,128.0,30.5
Jammu & Kashmir (UT),Srinagar (K),2021,10.0,14.0,97.0,32.0
Jharkhand,Barajamda,2021,15.0,20.0,72.0,86.5
Jharkhand,Dhanbad,2021,13.0,35.0,247.0,86.5
Jharkhand,Jamshedpur,2021,35.0,44.0,112.0,86.5
Jharkhand,Jharia,2021,14.0,36.0,314.0,86.5
Jharkhand,Jorapokhar,2021,23.0,7.0,97.0,86.5
Jharkhand,Ranchi,2021,18.0,36.0,110.0,105.0
Jharkhand,Saraikela,2021,36.0,44.0,115.0,86.5
Jharkhand,Sindri,2021,14.0,35.0,179.0,86.5
Karnataka,Bagalkote,2021,7.0,11.0,41.0,21.0
Karnataka,Bangalore,2021,5.0,21.0,67.0,31.0
Karnataka,Belgaum,2021,2.0,11.0,81.0,25.0
Karnataka,Bidar,2021,26.0,7.0,71.0,39.0
Karnataka,Bijapur / Vijayapura,2021,5.0,11.0,50.0,23.0
Karnataka,Chamarajanagar,2021,4.0,17.0,49.0,24.0
Karnataka,Chikkaballapur,2021,6.0,25.0,57.0,27.0
Karnataka,Chikkamagaluru,2021,4.0,17.0,40.0,23.0
Karnataka,Chitradurga,2021,2.0,5.0,38.0,9.0
Karnataka,Devanagere,2021,10.0,14.0,54.0,15.0
Karnataka,Gadag,2021,30.0,12.0,32.0,30.0
Karnataka,Gulbarga / Kalaburgi,2021,13.0,24.0,79.0,42.0
Karnataka,Hassan,2021,15.0,21.0,60.0,22.0
Karnataka,Hubli-Dharwad,2021,7.0,22.0,71.0,29.0
Karnataka,Kolar,2021,33.0,14.0,50.0,28.0
Karnataka,Koppal,2021,13.0,12.0,40.0,17.0
Karnataka,Madikeri,2021,15.0,5.0,36.0,18.0
Karnataka,Mandya,2021,2.0,13.0,34.0,19.0
Karnataka,Mangalore,2021,19.0,26.0,51.0,26.0
Karnataka,Mysore,2021,4.0,19.0,46.0,20.0
Karnataka,Raichur,2021,7.0,22.0,90.0,33.0
Karnataka,Ramanagara,2021,18.0,18.0,52.0,27.0
Karnataka,Shimaga / Shivamogga,2021,3.0,21.0,45.0,23.0
Karnataka,Tumkuru,2021,2.0,15.0,62.0,31.0
Karnataka,Udupi,2021,19.0,14.0,33.0,26.5
Karnataka,Yadgir,2021,12.0,14.0,59.0,29.0
Kerala,Alappuzha,2021,2.0,5.0,52.0,29.0
Kerala,Eloor,2021,13.0,14.0,47.0,25.0
Kerala,Ernakulam,2021,5.0,8.0,50.0,26.0
Kerala,Kannur,2021,2.0,19.0,73.0,34.0
Kerala,Kottayam,2021,2.0,12.0,38.0,29.0
Kerala,Kozhikode,2021,3.0,5.0,51.0,19.0
Kerala,Mallappuram,2021,2.0,16.0,31.0,26.0
Kerala,Palakkad,2021,2.0,5.0,57.0,33.0
Kerala,Pathanamthitta,2021,2.0,13.0,33.0,29.0
Kerala,Thiruvanantapuram,2021,6.0,8.0,47.0,23.0
Kerala,Thrissur,2021,23.0,5.0,49.0,38.0
Kerala,Wayanad,2021,2.0,5.0,29.0,14.0
Madhya Pradesh,Amlai,2021,10.0,22.0,72.0,31.0
Madhya Pradesh,Bhopal,2021,17.0,24.0,119.0,45.0
Madhya Pradesh,Chindwara,2021,5.0,13.0,66.0,28.0
Madhya Pradesh,Dewas,2021,12.0,20.0,83.0,37.0
Madhya Pradesh,Gwalior,2021,16.0,23.0,115.0,50.0
Madhya Pradesh,Indore,2021,13.0,35.0,105.0,44.0
Madhya Pradesh,Jabalpur,2021,12.0,33.0,114.0,44.0
Madhya Pradesh,Katni,2021,14.0,26.0,142.0,55.0
Madhya Pradesh,Maihar,2021,11.0,11.0,57.0,33.0
Madhya Pradesh,Mandideep,2021,30.0,30.0,98.0,43.0
Madhya Pradesh,Nagda,2021,6.0,5.0,41.0,19.0
Madhya Pradesh,Pithampur,2021,16.0,21.0,89.0,45.0
Madhya Pradesh,Ratlam,2021,13.0,20.0,98.0,42.0
Madhya Pradesh,Rewa,2021,9.0,18.0,70.0,34.0
Madhya Pradesh,Sagar,2021,7.0,18.0,80.0,34.0
Madhya Pradesh,Satna,2021,15.0,9.0,80.0,26.0
Madhya Pradesh,Singrauli,2021,29.0,41.0,182.0,77.0
Madhya Pradesh,Ujjain,2021,7.0,15.0,113.0,42.0
Maharashtra,Akola,2021,14.0,14.0,63.0,45.0
Maharashtra,Ambernath,2021,20.0,53.0,77.0,45.0
Maharashtra,Amravati,2021,13.0,19.0,64.0,45.0
Maharashtra,Aurangabad,2021,17.0,28.0,80.0,34.0
Maharashtra,Badlapur,2021,21.0,56.0,96.0,45.0
Maharashtra,Bhiwandi,2021,29.0,42.0,62.0,45.0
Maharashtra,Chandrapur,2021,9.0,19.0,105.0,44.0
Maharashtra,Dombivali / Kalyan,2021,29.0,16.0,121.0,59.0
Maharashtra,Jalgaon,2021,12.0,22.0,60.0,45.0
Maharashtra,Jalna,2021,10.0,41.0,93.0,45.0
Maharashtra,Kolhapur,2021,17.0,28.0,85.0,45.0
Maharashtra,Latur,2021,7.0,17.0,57.0,45.0
Maharashtra,Mumbai,2021,14.0,23.0,106.0,47.0
Maharashtra,Nagpur,2021,10.0,25.0,72.0,36.0
Maharashtra,Nanded,2021,18.0,31.0,54.0,45.0
Maharashtra,Nashik,2021,4.0,27.0,59.0,40.0
Maharashtra,Navi Mumbai,2021,15.0,35.0,92.0,52.0
Maharashtra,Pimpri-Chinchwad,2021,21.0,41.0,84.0,45.0
Maharashtra,Pune,2021,26.0,38.0,108.0,45.0
Maharashtra,Roha,2021,10.0,33.0,128.0,45.0
Maharashtra,Sangli,2021,9.0,37.0,72.0,45.0
Maharashtra,Solapur,2021,11.0,16.0,72.0,36.0
Maharashtra,Thane,2021,11.0,46.0,135.0,45.0
Maharashtra,Ulhas Nagar,2021,21.0,56.0,81.0,45.0
Manipur,Imphal,2021,6.0,26.0,123.0,48.0
Meghalaya,Byraihat,2021,13.0,14.0,226.0,30.0
Meghalaya,Khlihriat,2021,4.0,7.0,42.0,7.0
Meghalaya,Nongstoin,2021,3.0,8.0,35.0,7.0
Meghalaya,Shillong,2021,10.0,6.0,27.0,12.0
Meghalaya,Tura,2021,3.0,7.0,37.0,6.0
Meghalaya,Umaim,2021,4.0,9.0,101.0,12.0
Mizoram,Aizwal,2021,10.0,3.0,41.0,24.0
Mizoram,Champhai,2021,2.0,5.0,22.0,15.0
Mizoram,Khatla,2021,2.0,5.0,25.0,25.0
Mizoram,Kolasib,2021,2.0,5.0,17.0,8.0
Mizoram,Lawngtlai,2021,2.0,6.0,65.0,11.0
Mizoram,Lunglei,2021,2.0,5.0,25.0,6.0
Mizoram,Lengpui,2021,2.0,7.0,39.0,39.0
Mizoram,Mamit,2021,2.0,5.0,32.0,11.0
Mizoram,Saiha,2021,2.0,5.0,37.0,11.0
Mizoram,Serchhip,2021,2.0,5.0,35.0,11.0
Nagaland,Dimapur,2021,2.0,7.0,88.0,33.0
Nagaland,Kohima,2021,20.0,3.0,77.0,33.0
Odisha,Angul,2021,10.0,27.0,96.0,36.0
Odisha,Balasore,2021,4.0,11.0,76.0,44.0
Odisha,Berhampur,2021,5.0,20.0,63.0,25.0
Odisha,Bhubaneshwar,2021,2.0,16.0,94.0,36.0
Odisha,Bonaigarh,2021,9.0,12.0,103.0,39.0
Odisha,Brajrajnagar,2021,25.0,19.0,71.0,34.0
Odisha,Cuttack,2021,4.0,18.0,87.0,35.0
Odisha,Jharsuguda,2021,8.0,14.0,102.0,56.0
Odisha,Kalinga Nagar,2021,2.0,16.0,115.0,68.0
Odisha,Konark,2021,2.0,13.0,63.0,42.5
Odisha,Paradeep,2021,16.0,11.0,114.0,42.5
Odisha,Puri,2021,2.0,4.0,77.0,42.5
Odisha,Rajgangpur,2021,10.0,13.0,129.0,42.0
Odisha,Rayagada,2021,5.0,16.0,68.0,33.0
Odisha,Rourkela,2021,9.0,12.0,125.0,48.0
Odisha,Sambalpur,2021,7.0,25.0,103.0,42.0
Odisha,Talcher,2021,16.0,29.0,88.0,40.0
Pondicherry (UT),Karaikal,2021,2.0,5.0,41.0,24.0
